"front"|"back"|"title"|"difficulty"|"Tags"|"status"|"createdAt"|"tipFront"|"tipBack"|"imageFront"|"imageBack"|"audioFront"|"audioBack"|"relevance"

#■■■■■■■■■■■ Unit1



"
Salgamos ahora. Ya no llueve.
"|"
Let’s go out now. It isn't raining anymore.
"|"01_01 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 11:45:09"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_01_Lets go out now. It isnt raining anymore.mp3"|"meh"|"Book EnglishGrammarInUse5ed"






"
¿Cómo es tu nuevo trabajo? ¿Lo estás disfrutando?
"|"
How’s your new job? Are you enjoying it?
"|"01_02 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:00:11"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_02_How is your new job_ Are you enjoying it.mp3"|"meh"|"Book EnglishGrammarInUse5ed"





"
Estoy leyendo un libro realmente bueno en este momento.
"|"
I’m reading a really good book at the moment.
"|"01_03 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:03:34"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_03_I’m reading a really good book at the moment.mp3"|"meh"|"Book EnglishGrammarInUse5ed"



"
Algunos amigos míos están construyendo su propia casa. Esperan terminarlo el próximo verano.
"|"
Some friends of mine are building their own house. They hope to finish it next summer.
"|"01_04 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:05:23"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_04_Some friends of mine are building their own house. They hope to finish it next summer.mp3"|"meh"|"Book EnglishGrammarInUse5ed"



"
A la empresa para la que trabajo no le está yendo muy bien este año.
"|"
The company I work for isn’t doing so well this year.
"|"01_05 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:10:12"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_05_The company I work for isn’t doing so well this year.mp3"|"meh"|"Book EnglishGrammarInUse5ed"



"
¿Tu inglés está mejorando?
"|"
Is your English getting better?
(not Does your English get better)
"|"01_06 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:13:55"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_06_Is your English getting better.mp3"|"ok"|"Book EnglishGrammarInUse5ed"





"
La población del mundo está aumentando muy rápidamente.
"|"
The population of the world is increasing very fast.
(not increases)
"|"01_07 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:35:07"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_07_The population of the world is increasing very fast"|"meh"|"Book EnglishGrammarInUse5ed"







"
Al principio no me gustaba mi trabajo, pero ahora estoy empezando a disfrutarlo.
"|"
At first I didn’t like my job, but I’m starting to enjoy it now.
(not I start)
"|"01_08 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:35:12"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_08_At first I didn’t like my job, but I’m starting to enjoy it now.mp3"|"meh"|"Book EnglishGrammarInUse5ed"





"
No tengo dónde vivir en este momento. Me quedo con amigos.
"|"
I don’t have anywhere to live right now. I’m staying with friends.
"|"01_09 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:35:17"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_09_I don’t have anywhere to live right now. I’m staying with friends.mp3"|"meh"|"Book EnglishGrammarInUse5ed"





"
No es verdad lo que dicen. Están mintiendo.
"|"
It isn’t true what they say. They’re lying.
"|"01_10 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:35:20"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_10_It isn’t true what they say. They’re lying.mp3"|"meh"|"Book EnglishGrammarInUse5ed"




"
Nos vamos a mojar. Está empezando a llover.
"|"
We’re going to get wet. It’s starting to rain.
"|"01_11 PresentContinuos"|"easy"|"unit1 PresentContinuos"|"learned"|"2024-08-15 12:35:23"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"01_11_We’re going to get wet. It’s starting to rain.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


#■■■■■■■■■■■■ Unit2 Present simple (I do)



"
1)We use the present simple to...

2)Examples
"|"
1)
talk about things in general. We use it to say that something happens all the time or repeatedly, or that something is true in general

2)Examples
a.Nurses look after patients in hospitals.
b.I usually go away at weekends.
c.The earth goes round the sun.
d.The cafe opens at 7.30 in the morning.
"|"02_00 PresentSimple"|"easy"|"Unit2 PresentSimple"|"learned"|"2024-08-15 12:44:43"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"audioBack.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


"
Los enfermeros cuidan a los pacientes en los hospitales.
"|"
Nurses look after patients in hospitals
"|"02_01 PresentSimple"|"easy"|"Unit2 PresentSimple"|"learned"|"2024-08-15 16:12:06"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"02_01_Nurses look after patients in hospitals.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


"
La tierra gira alrededor del sol.
"|"
The earth goes round the sun
"|"02_02 PresentSimple"|"easy"|"Unit2 PresentSimple"|"learned"|"2024-08-15 16:12:59"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"02_02_The earth goes round the sun.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


"
Vengo de Canadá. ¿De dónde eres tu?
"|"
I come from Canada. Where do you come from?
"|"02_03 PresentSimple"|"easy"|"Unit2 PresentSimple"|"learned"|"2024-08-15 16:12:55"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"02_03_I come from Canada. Where do you come from_.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


"
¿Qué significa esta palabra?
"|"
What does this word mean?
"|"02_04 PresentSimple"|"easy"|"Unit2 PresentSimple"|"learned"|"2024-08-15 16:21:27"|"TipFront"|"TipBack"|"imageFront.png"|"imageBack.png"|"audioFront.mp3"|"02_04_What does this word mean_.mp3"|"meh"|"Book EnglishGrammarInUse5ed"


